""
Differential data
,255-CAL_DAC
73,,0,0,0,0,0,0,0,0,0,7,72,20,1,0,0,0,0,0,0,27.15,0.5361902647381804
74,,0,0,0,0,0,0,0,1,51,46,2,0,0,0,0,0,0,0,0,25.49,0.5566866263886712
75,,0,0,0,0,0,0,2,55,41,2,0,0,0,0,0,0,0,0,0,24.43,0.5701754116059373
76,,0,0,0,0,0,0,0,1,58,39,2,0,0,0,0,0,0,0,0,25.42,0.5509990925582364
77,,0,0,0,0,0,0,0,10,69,21,0,0,0,0,0,0,0,0,0,25.11,0.5458021619598076
78,,0,0,0,0,0,0,0,0,0,32,59,9,0,0,0,0,0,0,0,26.77,0.5975784467331465
79,,0,0,0,0,0,0,0,0,3,50,46,1,0,0,0,0,0,0,0,26.45,0.5722761571129799
80,,0,0,0,0,0,0,0,0,42,51,7,0,0,0,0,0,0,0,0,25.65,0.6062177826491071
81,,0,0,0,0,0,0,0,0,0,2,45,53,0,0,0,0,0,0,0,27.51,0.5384236250388722
82,,0,0,0,0,0,0,0,0,0,13,73,14,0,0,0,0,0,0,0,27.01,0.5195190083144215
83,,0,0,0,0,0,0,0,0,0,15,67,18,0,0,0,0,0,0,0,27.03,0.5736723803705387
84,,0,0,0,0,0,0,0,0,0,2,49,46,3,0,0,0,0,0,0,27.5,0.5916079783099616
85,,0,0,0,0,0,0,0,0,5,51,39,5,0,0,0,0,0,0,0,26.44,0.6681317235396026
86,,0,0,0,0,0,0,0,0,44,53,3,0,0,0,0,0,0,0,0,25.59,0.5494542747126462
87,,0,0,0,0,0,0,0,0,38,55,7,0,0,0,0,0,0,0,0,25.69,0.5948949487094339
88,,0,0,0,0,0,0,0,0,31,61,8,0,0,0,0,0,0,0,0,25.77,0.5806031346797914
89,,0,0,0,0,0,0,0,0,0,0,19,69,12,0,0,0,0,0,0,27.93,0.5523585791856591
90,,0,0,0,0,0,0,0,0,17,63,20,0,0,0,0,0,0,0,0,26.03,0.6075360071633614
91,,0,0,0,0,0,0,4,59,37,0,0,0,0,0,0,0,0,0,0,24.33,0.548725796732758
92,,0,0,0,0,0,0,0,38,59,2,1,0,0,0,0,0,0,0,0,24.66,0.5695612346359257
93,,0,0,0,0,0,0,0,0,15,63,22,0,0,0,0,0,0,0,0,26.07,0.6042350536008317
94,,0,0,0,0,0,0,0,0,2,35,61,2,0,0,0,0,0,0,0,26.63,0.5595533933415113
95,,0,0,0,0,0,0,0,1,59,38,2,0,0,0,0,0,0,0,0,25.41,0.5494542747126462
96,,0,0,0,0,0,0,0,0,11,63,25,1,0,0,0,0,0,0,0,26.16,0.6118823416311342
